window_len,train_config,multiple_digits,depth_channel_representation_mode,Accuracy,IoU,AP,n
10,"[{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}, {'epochs': 10, 'learning_rate': 0.0001, 'layers': 'all'}]",True,original,0.9537 ± 0.0003,0.4502 ± 0.0140,0.6061 ± 0.0178,5
10,"{'epochs': 2, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9556 ± 0.0072,0.1229 ± 0.0428,0.2988 ± 0.0149,5
10,"{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9535 ± 0.0006,0.2410 ± 0.0272,0.4304 ± 0.0408,5
20,"[{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}, {'epochs': 10, 'learning_rate': 0.0001, 'layers': 'all'}]",True,original,0.9586 ± 0.0011,0.4407 ± 0.0198,0.6065 ± 0.0187,5
20,"{'epochs': 2, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9566 ± 0.0045,0.1370 ± 0.0337,0.3085 ± 0.0536,5
20,"{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9573 ± 0.0034,0.2264 ± 0.0195,0.4199 ± 0.0234,5
50,"[{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}, {'epochs': 10, 'learning_rate': 0.0001, 'layers': 'all'}]",True,original,0.9595 ± 0.0009,0.4448 ± 0.0057,0.6269 ± 0.0050,5
50,"{'epochs': 2, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9677 ± 0.0045,0.0598 ± 0.0369,0.2879 ± 0.0306,5
50,"{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9585 ± 0.0021,0.2107 ± 0.0380,0.3827 ± 0.0347,5
