window_len,train_config,multiple_digits,depth_channel_representation_mode,Accuracy,IoU,AP,n
10,"[{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}, {'epochs': 10, 'learning_rate': 0.0001, 'layers': 'all'}]",True,original,0.9621 ± 0.0011,0.1739 ± 0.0041,0.3772 ± 0.0060,5
10,"{'epochs': 2, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9727 ± 0.0017,0.0120 ± 0.0120,0.2527 ± 0.0294,5
10,"{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9674 ± 0.0023,0.0536 ± 0.0092,0.2966 ± 0.0118,5
20,"[{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}, {'epochs': 10, 'learning_rate': 0.0001, 'layers': 'all'}]",True,original,0.9650 ± 0.0008,0.1589 ± 0.0155,0.3546 ± 0.0171,5
20,"{'epochs': 2, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9748 ± 0.0011,0.0041 ± 0.0038,0.2334 ± 0.0304,5
20,"{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9730 ± 0.0017,0.0212 ± 0.0115,0.2616 ± 0.0196,5
50,"[{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}, {'epochs': 10, 'learning_rate': 0.0001, 'layers': 'all'}]",True,original,0.9680 ± 0.0014,0.1500 ± 0.0135,0.3568 ± 0.0155,5
50,"{'epochs': 2, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9768 ± 0.0001,0.0015 ± 0.0015,0.2009 ± 0.0225,5
50,"{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9736 ± 0.0020,0.0271 ± 0.0165,0.2575 ± 0.0206,5
