window_len,train_config,multiple_digits,depth_channel_representation_mode,Accuracy,IoU,AP,n
10,"[{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}, {'epochs': 10, 'learning_rate': 0.0001, 'layers': 'all'}]",True,original,0.9648 ± 0.0011,0.1513 ± 0.0172,0.3684 ± 0.0201,5
10,"{'epochs': 2, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9723 ± 0.0022,0.0134 ± 0.0088,0.2627 ± 0.0154,5
10,"{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9694 ± 0.0021,0.0483 ± 0.0127,0.3080 ± 0.0190,5
20,"[{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}, {'epochs': 10, 'learning_rate': 0.0001, 'layers': 'all'}]",True,original,0.9662 ± 0.0010,0.1550 ± 0.0146,0.3637 ± 0.0078,5
20,"{'epochs': 2, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9759 ± 0.0002,0.0020 ± 0.0012,0.2200 ± 0.0258,5
20,"{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9690 ± 0.0020,0.0498 ± 0.0146,0.2738 ± 0.0306,5
50,"[{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}, {'epochs': 10, 'learning_rate': 0.0001, 'layers': 'all'}]",True,original,0.9671 ± 0.0011,0.1680 ± 0.0083,0.3686 ± 0.0184,5
50,"{'epochs': 2, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9760 ± 0.0008,0.0019 ± 0.0020,0.1994 ± 0.0199,5
50,"{'epochs': 5, 'learning_rate': 0.001, 'layers': 'heads'}",True,original,0.9736 ± 0.0024,0.0302 ± 0.0187,0.2520 ± 0.0344,5
